Family,Species,Classification,mean_Area,se_Area,mean_Height,se_Height,mean_Mass,se_Mass,Species1,Classification1
Asteraceae,Helianthus_annuus,Asteracea,7.199,0.4496009341627306,1.331,0.12697725080589128,6.64,0.29143323992525855,Helianthus_annuus,Asteracea
Asteraceae,Echinacea_angustifolia,Asteracea,9.063,0.3933108750650615,2.248,0.17299839434065403,3.71,0.5396397975604756,Echinacea_angustifolia,Asteracea
Asteraceae,Liatris_mucronata,Asteracea,9.089,0.7558430907124691,1.117,0.05811960847157255,4.37,0.2970409623828561,Liatris_mucronata,Asteracea
Asteraceae,Coreopsis_tinctoria,Asteracea,1.909,0.22858234596943153,0.658,0.10517498646435747,0.392,0.013232955494186136,Coreopsis_tinctoria,Asteracea
Asteraceae,Coreopsis_lanceolata,Asteracea,12.265,0.622375824294828,0.712,0.08314378442727326,3.12,0.21228911104120876,Coreopsis_lanceolata,Asteracea
Asteraceae,Gutierrezia_sarothrae,Asteracea,0.8029999999999999,0.016736520280844255,0.89,0.06868608139774592,0.261,0.01110055053689781,Gutierrezia_sarothrae,Asteracea
Asteraceae,Centaurea_americana,Asteracea,9.244,0.22101885289118056,1.593,0.18051808158125815,12.05,0.5434969078926658,Centaurea_americana,Asteracea
Asteraceae,Ratibida_columnifera,Asteracea,5.167,0.2247025193944701,0.929,0.09659134996928498,0.928,0.03206936925548185,Ratibida_columnifera,Asteracea
Lamiaceae,Salvia_lyrata,Other_Dicot,2.836,0.12052846597841983,1.24,0.127148207485071,2.2,0.12018504251546629,Salvia_lyrata,Other_Dicot
Lamiaceae,Monarda_citriodora,Other_Dicot,1.246,0.05393823628311675,1.406,0.041128524840499156,0.53,0.007745966692414834,Monarda_citriodora,Other_Dicot
Lamiaceae,Salvia_farinacea,Other_Dicot,1.9869999999999999,0.10906725753711177,1.153,0.07771815174790964,0.94,0.05312459150169741,Salvia_farinacea,Other_Dicot
Lamiaceae,Salvia_azurea,Other_Dicot,5.299,0.36728568959023955,1.596,0.08969330459342484,3.24,0.27976180344476387,Salvia_azurea,Other_Dicot
Lamiaceae,Salvia_coccinea,Other_Dicot,2.365,0.06222271825199108,1.3719999999999999,0.09119941520280343,1.45,0.09098229375970789,Salvia_coccinea,Other_Dicot
Scrophulareaceae,Penstemon_cobaea,Other_Dicot,3.02,0.1780761385225744,1.275,0.10618903479696531,1.43,0.08569973421454959,Penstemon_cobaea,Other_Dicot
Asclepiadaceae,Asclepias_asperula,Other_Dicot,15.716,1.8435534528006865,0.6880000000000001,0.1212875371448636,5.11,0.5051842348204377,Asclepias_asperula,Other_Dicot
Hydrophyllaceae,Phacelia_congesta,Other_Dicot,2.033,0.07969455578784679,1.06,0.05213231030539292,0.724,0.017139946842909926,Phacelia_congesta,Other_Dicot
Apiaceae,Polytaenia_nuttalli,Other_Dicot,25.258,1.3228998450374088,0.79,0.14935416521365136,4.13,0.41634654369220414,Polytaenia_nuttalli,Other_Dicot
Apiaceae,Eryngium_leavenworthii,Other_Dicot,5.32,0.26470528685481304,0.946,0.08433003946136605,2.44,0.16944353369518442,Eryngium_leavenworthii,Other_Dicot
Polemoniaceae,Ipomopsis_rubra,Other_Dicot,3.034,0.17933333333333332,1.086,0.10007996802557441,1.69,0.11200198410940962,Ipomopsis_rubra,Other_Dicot
Phytolaccaceae,Rivina_humilis,Other_Dicot,5.501,0.15880421209079365,1.686,0.09409451513121143,4.33,0.09315459074988074,Rivina_humilis,Other_Dicot
Phytolaccaceae,Phytolacca_americana,Other_Dicot,7.258,0.18671904027174085,2.735,0.18607794065928396,8.42,0.2674156149350877,Phytolacca_americana,Other_Dicot
Fabaceae,Astragalus_crassicarpus,Other_Dicot,5.399,0.17007482013644598,1.583,0.09697708778652595,5.5,0.3235222815613581,Astragalus_crassicarpus,Other_Dicot
Fabaceae,Desmanthus_illinoensis,Other_Dicot,7.396,0.4317025725092579,0.9550000000000001,0.04826431854325144,7.38,0.4291593850514955,Desmanthus_illinoensis,Other_Dicot
Linaceae,Linum_rigidum,Other_Dicot,3.205,0.07318545696455757,0.783,0.055658682062090625,0.873,0.015205992970609376,Linum_rigidum,Other_Dicot
Malvaceae,Callirhoe_leiocarpa,Other_Dicot,6.328,0.30193744753213736,1.393,0.134462303680664,3.54,0.3370459909270544,Callirhoe_leiocarpa,Other_Dicot
Malvaceae,Callirhoe_involucrata,Other_Dicot,8.94,0.2766305197270259,1.279,0.07873231723871575,6.9,0.6886379471262255,Callirhoe_involucrata,Other_Dicot
Malvaceae,Pavonia_lasiopetala,Other_Dicot,10.67,0.1500000000000001,2.995,0.13346035616117116,18.75,0.34872784676752067,Pavonia_lasiopetala,Other_Dicot
Onagraceae,Oenothera_rhombipetala,Other_Dicot,0.63,0.03080404013906112,1.345,0.06776183783418707,0.3155,0.005842849380986035,Oenothera_rhombipetala,Other_Dicot
Papaveraceae,Argemone_albiflora,Other_Dicot,2.704,0.07853095638734518,1.712,0.08734096658753238,3.34,0.13097921802925663,Argemone_albiflora,Other_Dicot
Fumariaceae,Corydalis_curvisiliqua,Other_Dicot,2.185,0.07858823774020582,0.9380000000000001,0.031474857690967674,1.72,0.08406346808612328,Corydalis_curvisiliqua,Other_Dicot
Poaceae,Bouteloua_curtipendula,Monoct,4.663,0.29179540016174954,0.759,0.06441963123838018,0.653,0.04814445854809138,Bouteloua_curtipendula,Monoct
Poaceae,Bouteloua_gracilis,Monoct,3.237,0.2734107613910697,1.054,0.11152677805003702,0.533,0.019947152400502908,Bouteloua_gracilis,Monoct
Poaceae,Chloris_cucullata,Monoct,2.012,0.07441326046702519,0.892,0.052763623833091675,3.49,0.22383029285599393,Chloris_cucullata,Monoct
Poaceae,Sporobolus_airoides,Monoct,0.767,0.044273142096660716,0.673,0.04993440141269788,0.0945,0.008314979788844282,Sporobolus_airoides,Monoct
Poaceae,Sporobolus_cryptandrus,Monoct,0.361,0.008359957469322967,0.881,0.05080354318352214,0.1075,0.0038908725099762492,Sporobolus_cryptandrus,Monoct
Poaceae,Aristida_purpurea,Monoct,3.8810000000000002,0.18965143465491283,1.12,0.08220570404648193,1.65,0.0945750730607407,Aristida_purpurea,Monoct
Poaceae,Digitaria_californica,Monoct,2.399,0.11420692720768835,0.801,0.07234869268572398,0.595,0.021200104821543796,Digitaria_californica,Monoct
Poaceae,Digitaria_ciliaris,Monoct,1.831,0.03397548135543238,0.72,0.053395796755092165,0.507,0.022659312532476456,Digitaria_ciliaris,Monoct
